task_id,task_group,split
SingleLineInfilling/HumanEval/6/L12,HumanEval/6,validation
SingleLineInfilling/HumanEval/7/L0,HumanEval/7,train
SingleLineInfilling/HumanEval/8/L0,HumanEval/8,validation
SingleLineInfilling/HumanEval/8/L1,HumanEval/8,validation
SingleLineInfilling/HumanEval/8/L3,HumanEval/8,validation
SingleLineInfilling/HumanEval/8/L4,HumanEval/8,validation
SingleLineInfilling/HumanEval/8/L5,HumanEval/8,validation
SingleLineInfilling/HumanEval/8/L6,HumanEval/8,validation
SingleLineInfilling/HumanEval/9/L0,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L1,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L3,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L4,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L5,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L6,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L7,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L9,HumanEval/9,calibration
SingleLineInfilling/HumanEval/9/L11,HumanEval/9,calibration
SingleLineInfilling/HumanEval/10/L0,HumanEval/10,train
SingleLineInfilling/HumanEval/10/L1,HumanEval/10,train
SingleLineInfilling/HumanEval/10/L3,HumanEval/10,train
SingleLineInfilling/HumanEval/10/L5,HumanEval/10,train
SingleLineInfilling/HumanEval/10/L6,HumanEval/10,train
SingleLineInfilling/HumanEval/10/L8,HumanEval/10,train
SingleLineInfilling/HumanEval/11/L0,HumanEval/11,train
SingleLineInfilling/HumanEval/11/L1,HumanEval/11,train
SingleLineInfilling/HumanEval/11/L2,HumanEval/11,train
SingleLineInfilling/HumanEval/11/L3,HumanEval/11,train
SingleLineInfilling/HumanEval/11/L4,HumanEval/11,train
SingleLineInfilling/HumanEval/11/L6,HumanEval/11,train
SingleLineInfilling/HumanEval/12/L0,HumanEval/12,validation
SingleLineInfilling/HumanEval/12/L1,HumanEval/12,validation
SingleLineInfilling/HumanEval/12/L3,HumanEval/12,validation
SingleLineInfilling/HumanEval/12/L4,HumanEval/12,validation
SingleLineInfilling/HumanEval/12/L5,HumanEval/12,validation
SingleLineInfilling/HumanEval/12/L6,HumanEval/12,validation
SingleLineInfilling/HumanEval/13/L0,HumanEval/13,calibration
SingleLineInfilling/HumanEval/13/L1,HumanEval/13,calibration
SingleLineInfilling/HumanEval/13/L2,HumanEval/13,calibration
SingleLineInfilling/HumanEval/14/L0,HumanEval/14,train
SingleLineInfilling/HumanEval/14/L2,HumanEval/14,train
SingleLineInfilling/HumanEval/14/L3,HumanEval/14,train
SingleLineInfilling/HumanEval/14/L4,HumanEval/14,train
SingleLineInfilling/HumanEval/15/L0,HumanEval/15,train
SingleLineInfilling/HumanEval/16/L0,HumanEval/16,calibration
SingleLineInfilling/HumanEval/17/L0,HumanEval/17,calibration
SingleLineInfilling/HumanEval/17/L1,HumanEval/17,calibration
SingleLineInfilling/HumanEval/18/L0,HumanEval/18,train
SingleLineInfilling/HumanEval/18/L2,HumanEval/18,train
SingleLineInfilling/HumanEval/18/L3,HumanEval/18,train
SingleLineInfilling/HumanEval/18/L4,HumanEval/18,train
SingleLineInfilling/HumanEval/18/L6,HumanEval/18,train
SingleLineInfilling/HumanEval/19/L0,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L1,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L2,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L3,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L4,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L5,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L6,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L7,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L8,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L9,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L10,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L11,HumanEval/19,train
SingleLineInfilling/HumanEval/19/L12,HumanEval/19,train
SingleLineInfilling/HumanEval/20/L0,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L1,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L3,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L4,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L5,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L6,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L7,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L8,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L9,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L10,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L11,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L12,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L13,HumanEval/20,train
SingleLineInfilling/HumanEval/20/L15,HumanEval/20,train
SingleLineInfilling/HumanEval/21/L0,HumanEval/21,train
SingleLineInfilling/HumanEval/21/L1,HumanEval/21,train
SingleLineInfilling/HumanEval/21/L2,HumanEval/21,train
SingleLineInfilling/HumanEval/22/L0,HumanEval/22,train
SingleLineInfilling/HumanEval/23/L0,HumanEval/23,train
SingleLineInfilling/HumanEval/24/L0,HumanEval/24,train
SingleLineInfilling/HumanEval/24/L1,HumanEval/24,train
SingleLineInfilling/HumanEval/24/L2,HumanEval/24,train
SingleLineInfilling/HumanEval/25/L0,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L1,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L2,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L3,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L4,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L5,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L6,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L7,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L8,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L10,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L11,HumanEval/25,calibration
SingleLineInfilling/HumanEval/25/L12,HumanEval/25,calibration
SingleLineInfilling/HumanEval/26/L0,HumanEval/26,train
SingleLineInfilling/HumanEval/26/L1,HumanEval/26,train
SingleLineInfilling/HumanEval/26/L2,HumanEval/26,train
SingleLineInfilling/HumanEval/27/L0,HumanEval/27,test
SingleLineInfilling/HumanEval/28/L0,HumanEval/28,validation
SingleLineInfilling/HumanEval/29/L0,HumanEval/29,calibration
SingleLineInfilling/HumanEval/30/L0,HumanEval/30,train
SingleLineInfilling/HumanEval/31/L0,HumanEval/31,test
SingleLineInfilling/HumanEval/31/L1,HumanEval/31,test
SingleLineInfilling/HumanEval/31/L2,HumanEval/31,test
SingleLineInfilling/HumanEval/31/L3,HumanEval/31,test
SingleLineInfilling/HumanEval/31/L4,HumanEval/31,test
SingleLineInfilling/HumanEval/31/L5,HumanEval/31,test
SingleLineInfilling/HumanEval/32/L0,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L1,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L2,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L3,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L4,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L5,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L6,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L7,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L8,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L9,HumanEval/32,calibration
SingleLineInfilling/HumanEval/32/L10,HumanEval/32,calibration
SingleLineInfilling/HumanEval/33/L0,HumanEval/33,train
SingleLineInfilling/HumanEval/33/L1,HumanEval/33,train
SingleLineInfilling/HumanEval/33/L2,HumanEval/33,train
SingleLineInfilling/HumanEval/34/L0,HumanEval/34,calibration
SingleLineInfilling/HumanEval/35/L0,HumanEval/35,test
SingleLineInfilling/HumanEval/35/L1,HumanEval/35,test
SingleLineInfilling/HumanEval/35/L2,HumanEval/35,test
SingleLineInfilling/HumanEval/35/L3,HumanEval/35,test
SingleLineInfilling/HumanEval/35/L4,HumanEval/35,test
SingleLineInfilling/HumanEval/36/L0,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L1,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L2,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L3,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L4,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L5,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L6,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L7,HumanEval/36,calibration
SingleLineInfilling/HumanEval/36/L8,HumanEval/36,calibration
SingleLineInfilling/HumanEval/37/L0,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L1,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L2,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L3,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L4,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L5,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L6,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L7,HumanEval/37,train
SingleLineInfilling/HumanEval/37/L8,HumanEval/37,train
SingleLineInfilling/HumanEval/38/L0,HumanEval/38,calibration
SingleLineInfilling/HumanEval/39/L0,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L2,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L3,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L4,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L5,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L6,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L7,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L8,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L9,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L10,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L11,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L12,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L13,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L14,HumanEval/39,train
SingleLineInfilling/HumanEval/39/L15,HumanEval/39,train
SingleLineInfilling/HumanEval/40/L0,HumanEval/40,validation
SingleLineInfilling/HumanEval/40/L1,HumanEval/40,validation
SingleLineInfilling/HumanEval/40/L2,HumanEval/40,validation
SingleLineInfilling/HumanEval/40/L3,HumanEval/40,validation
SingleLineInfilling/HumanEval/40/L4,HumanEval/40,validation
SingleLineInfilling/HumanEval/40/L5,HumanEval/40,validation
SingleLineInfilling/HumanEval/41/L0,HumanEval/41,validation
SingleLineInfilling/HumanEval/42/L0,HumanEval/42,train
SingleLineInfilling/HumanEval/43/L0,HumanEval/43,train
SingleLineInfilling/HumanEval/43/L1,HumanEval/43,train
SingleLineInfilling/HumanEval/43/L2,HumanEval/43,train
SingleLineInfilling/HumanEval/43/L3,HumanEval/43,train
SingleLineInfilling/HumanEval/43/L4,HumanEval/43,train
SingleLineInfilling/HumanEval/44/L0,HumanEval/44,train
SingleLineInfilling/HumanEval/44/L1,HumanEval/44,train
SingleLineInfilling/HumanEval/44/L2,HumanEval/44,train
SingleLineInfilling/HumanEval/44/L3,HumanEval/44,train
SingleLineInfilling/HumanEval/44/L4,HumanEval/44,train
SingleLineInfilling/HumanEval/45/L0,HumanEval/45,train
SingleLineInfilling/HumanEval/46/L0,HumanEval/46,validation
SingleLineInfilling/HumanEval/46/L1,HumanEval/46,validation
SingleLineInfilling/HumanEval/46/L2,HumanEval/46,validation
SingleLineInfilling/HumanEval/46/L4,HumanEval/46,validation
SingleLineInfilling/HumanEval/46/L5,HumanEval/46,validation
SingleLineInfilling/HumanEval/46/L6,HumanEval/46,validation
SingleLineInfilling/HumanEval/46/L8,HumanEval/46,validation
SingleLineInfilling/HumanEval/47/L0,HumanEval/47,train
SingleLineInfilling/HumanEval/47/L1,HumanEval/47,train
SingleLineInfilling/HumanEval/47/L2,HumanEval/47,train
SingleLineInfilling/HumanEval/47/L3,HumanEval/47,train
SingleLineInfilling/HumanEval/47/L4,HumanEval/47,train
SingleLineInfilling/HumanEval/48/L0,HumanEval/48,train
SingleLineInfilling/HumanEval/48/L1,HumanEval/48,train
SingleLineInfilling/HumanEval/48/L2,HumanEval/48,train
SingleLineInfilling/HumanEval/48/L3,HumanEval/48,train
SingleLineInfilling/HumanEval/49/L0,HumanEval/49,train
SingleLineInfilling/HumanEval/49/L1,HumanEval/49,train
SingleLineInfilling/HumanEval/49/L2,HumanEval/49,train
SingleLineInfilling/HumanEval/49/L3,HumanEval/49,train
SingleLineInfilling/HumanEval/50/L0,HumanEval/50,test
SingleLineInfilling/HumanEval/51/L0,HumanEval/51,train
SingleLineInfilling/HumanEval/52/L0,HumanEval/52,train
SingleLineInfilling/HumanEval/52/L1,HumanEval/52,train
SingleLineInfilling/HumanEval/52/L2,HumanEval/52,train
SingleLineInfilling/HumanEval/52/L3,HumanEval/52,train
SingleLineInfilling/HumanEval/53/L0,HumanEval/53,validation
SingleLineInfilling/HumanEval/54/L0,HumanEval/54,validation
SingleLineInfilling/HumanEval/55/L0,HumanEval/55,train
SingleLineInfilling/HumanEval/55/L1,HumanEval/55,train
SingleLineInfilling/HumanEval/55/L2,HumanEval/55,train
SingleLineInfilling/HumanEval/55/L3,HumanEval/55,train
SingleLineInfilling/HumanEval/55/L4,HumanEval/55,train
SingleLineInfilling/HumanEval/56/L0,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L1,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L2,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L3,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L4,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L5,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L6,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L7,HumanEval/56,train
SingleLineInfilling/HumanEval/56/L8,HumanEval/56,train
SingleLineInfilling/HumanEval/57/L0,HumanEval/57,validation
SingleLineInfilling/HumanEval/57/L1,HumanEval/57,validation
SingleLineInfilling/HumanEval/57/L2,HumanEval/57,validation
SingleLineInfilling/HumanEval/58/L0,HumanEval/58,calibration
SingleLineInfilling/HumanEval/58/L1,HumanEval/58,calibration
SingleLineInfilling/HumanEval/58/L2,HumanEval/58,calibration
SingleLineInfilling/HumanEval/58/L3,HumanEval/58,calibration
SingleLineInfilling/HumanEval/58/L4,HumanEval/58,calibration
SingleLineInfilling/HumanEval/58/L5,HumanEval/58,calibration
SingleLineInfilling/HumanEval/59/L0,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L1,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L2,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L3,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L4,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L5,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L6,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L7,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L8,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L9,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L10,HumanEval/59,train
SingleLineInfilling/HumanEval/59/L11,HumanEval/59,train
SingleLineInfilling/HumanEval/60/L0,HumanEval/60,calibration
SingleLineInfilling/HumanEval/61/L0,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L1,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L2,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L3,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L4,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L5,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L6,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L7,HumanEval/61,train
SingleLineInfilling/HumanEval/61/L8,HumanEval/61,train
SingleLineInfilling/HumanEval/62/L0,HumanEval/62,train
SingleLineInfilling/HumanEval/63/L0,HumanEval/63,calibration
SingleLineInfilling/HumanEval/63/L1,HumanEval/63,calibration
SingleLineInfilling/HumanEval/63/L2,HumanEval/63,calibration
SingleLineInfilling/HumanEval/63/L3,HumanEval/63,calibration
SingleLineInfilling/HumanEval/63/L4,HumanEval/63,calibration
SingleLineInfilling/HumanEval/63/L5,HumanEval/63,calibration
SingleLineInfilling/HumanEval/63/L6,HumanEval/63,calibration
SingleLineInfilling/HumanEval/64/L0,HumanEval/64,train
SingleLineInfilling/HumanEval/64/L1,HumanEval/64,train
SingleLineInfilling/HumanEval/64/L2,HumanEval/64,train
SingleLineInfilling/HumanEval/64/L3,HumanEval/64,train
SingleLineInfilling/HumanEval/64/L4,HumanEval/64,train
SingleLineInfilling/HumanEval/65/L0,HumanEval/65,train
SingleLineInfilling/HumanEval/65/L1,HumanEval/65,train
SingleLineInfilling/HumanEval/65/L2,HumanEval/65,train
SingleLineInfilling/HumanEval/65/L3,HumanEval/65,train
SingleLineInfilling/HumanEval/65/L4,HumanEval/65,train
SingleLineInfilling/HumanEval/66/L0,HumanEval/66,test
SingleLineInfilling/HumanEval/66/L1,HumanEval/66,test
SingleLineInfilling/HumanEval/67/L0,HumanEval/67,train
SingleLineInfilling/HumanEval/67/L1,HumanEval/67,train
SingleLineInfilling/HumanEval/67/L2,HumanEval/67,train
SingleLineInfilling/HumanEval/67/L3,HumanEval/67,train
SingleLineInfilling/HumanEval/67/L4,HumanEval/67,train
SingleLineInfilling/HumanEval/68/L0,HumanEval/68,calibration
SingleLineInfilling/HumanEval/68/L1,HumanEval/68,calibration
SingleLineInfilling/HumanEval/68/L2,HumanEval/68,calibration
SingleLineInfilling/HumanEval/68/L3,HumanEval/68,calibration
SingleLineInfilling/HumanEval/69/L0,HumanEval/69,test
SingleLineInfilling/HumanEval/69/L1,HumanEval/69,test
SingleLineInfilling/HumanEval/69/L2,HumanEval/69,test
SingleLineInfilling/HumanEval/69/L4,HumanEval/69,test
SingleLineInfilling/HumanEval/69/L5,HumanEval/69,test
SingleLineInfilling/HumanEval/69/L6,HumanEval/69,test
SingleLineInfilling/HumanEval/69/L7,HumanEval/69,test
SingleLineInfilling/HumanEval/69/L9,HumanEval/69,test
SingleLineInfilling/HumanEval/70/L0,HumanEval/70,train
SingleLineInfilling/HumanEval/70/L1,HumanEval/70,train
SingleLineInfilling/HumanEval/70/L2,HumanEval/70,train
SingleLineInfilling/HumanEval/70/L3,HumanEval/70,train
SingleLineInfilling/HumanEval/70/L4,HumanEval/70,train
SingleLineInfilling/HumanEval/70/L5,HumanEval/70,train
SingleLineInfilling/HumanEval/71/L0,HumanEval/71,validation
SingleLineInfilling/HumanEval/71/L1,HumanEval/71,validation
SingleLineInfilling/HumanEval/71/L2,HumanEval/71,validation
SingleLineInfilling/HumanEval/71/L3,HumanEval/71,validation
SingleLineInfilling/HumanEval/71/L4,HumanEval/71,validation
SingleLineInfilling/HumanEval/71/L5,HumanEval/71,validation
SingleLineInfilling/HumanEval/72/L0,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L1,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L3,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L4,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L5,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L6,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L7,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L8,HumanEval/72,train
SingleLineInfilling/HumanEval/72/L9,HumanEval/72,train
SingleLineInfilling/HumanEval/73/L0,HumanEval/73,train
SingleLineInfilling/HumanEval/73/L1,HumanEval/73,train
SingleLineInfilling/HumanEval/73/L2,HumanEval/73,train
SingleLineInfilling/HumanEval/73/L3,HumanEval/73,train
SingleLineInfilling/HumanEval/73/L4,HumanEval/73,train
SingleLineInfilling/HumanEval/74/L0,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L1,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L2,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L4,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L5,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L6,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L8,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L9,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L10,HumanEval/74,train
SingleLineInfilling/HumanEval/74/L11,HumanEval/74,train
SingleLineInfilling/HumanEval/75/L0,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L1,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L2,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L3,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L4,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L6,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L7,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L8,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L9,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L10,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L11,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L12,HumanEval/75,calibration
SingleLineInfilling/HumanEval/75/L13,HumanEval/75,calibration
SingleLineInfilling/HumanEval/76/L0,HumanEval/76,test
SingleLineInfilling/HumanEval/76/L1,HumanEval/76,test
SingleLineInfilling/HumanEval/76/L2,HumanEval/76,test
SingleLineInfilling/HumanEval/76/L3,HumanEval/76,test
SingleLineInfilling/HumanEval/76/L4,HumanEval/76,test
SingleLineInfilling/HumanEval/76/L5,HumanEval/76,test
SingleLineInfilling/HumanEval/77/L0,HumanEval/77,train
SingleLineInfilling/HumanEval/77/L1,HumanEval/77,train
SingleLineInfilling/HumanEval/78/L0,HumanEval/78,test
SingleLineInfilling/HumanEval/78/L1,HumanEval/78,test
SingleLineInfilling/HumanEval/78/L2,HumanEval/78,test
SingleLineInfilling/HumanEval/78/L3,HumanEval/78,test
SingleLineInfilling/HumanEval/78/L4,HumanEval/78,test
SingleLineInfilling/HumanEval/78/L5,HumanEval/78,test
SingleLineInfilling/HumanEval/79/L0,HumanEval/79,train
SingleLineInfilling/HumanEval/80/L0,HumanEval/80,train
SingleLineInfilling/HumanEval/80/L1,HumanEval/80,train
SingleLineInfilling/HumanEval/80/L3,HumanEval/80,train
SingleLineInfilling/HumanEval/80/L5,HumanEval/80,train
SingleLineInfilling/HumanEval/80/L6,HumanEval/80,train
SingleLineInfilling/HumanEval/80/L7,HumanEval/80,train
SingleLineInfilling/HumanEval/81/L2,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L3,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L4,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L5,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L6,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L7,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L8,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L9,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L10,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L11,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L12,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L13,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L14,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L15,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L16,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L17,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L18,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L19,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L20,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L21,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L22,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L23,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L24,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L25,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L26,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L27,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L28,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L29,HumanEval/81,test
SingleLineInfilling/HumanEval/81/L30,HumanEval/81,test
SingleLineInfilling/HumanEval/82/L0,HumanEval/82,train
SingleLineInfilling/HumanEval/82/L1,HumanEval/82,train
