run,scope,rows,old_pass_count,h200_pass_count,pass_delta_h200_minus_old,h200_wins,h200_losses,tie_pass,tie_fail,outcome_agreement_rate,candidate_hash_agreement_rate,selected_length_agreement_rate,selected_length_mean_delta,selected_length_mean_abs_delta,trigger_agreement_rate,old_triggered_count,h200_triggered_count,trigger_delta_h200_minus_old,final_source_agreement_rate
control,split:validation|bucket:13-16,14,8,8,0,0,0,8,6,1.0,1.0,1.0,0.0,0.0,1.0,8,8,0,1.0
control,split:validation|bucket:17-24,11,1,1,0,0,0,1,10,1.0,0.8181818181818182,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.9090909090909091,2,3,1,0.9090909090909091
control,split:validation|bucket:25+,4,0,0,0,0,0,0,4,1.0,1.0,1.0,0.0,0.0,1.0,1,1,0,1.0
control,split:validation|bucket:9-12,20,15,15,0,0,0,15,5,1.0,1.0,1.0,0.0,0.0,1.0,2,2,0,1.0
control,split:validation|bucket:<=8,78,65,64,-1,0,1,64,13,0.9871794871794872,0.9743589743589743,0.9743589743589743,-0.14102564102564102,0.21794871794871795,0.9615384615384616,10,11,1,0.9615384615384616
midcons,split:calibration,155,125,126,1,1,0,125,29,0.9935483870967742,0.967741935483871,0.9806451612903225,0.05806451612903226,0.08387096774193549,0.9870967741935484,34,34,0,0.9870967741935484
midcons,split:calibration|bucket:13-16,13,8,9,1,1,0,8,4,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.5384615384615384,0.5384615384615384,0.9230769230769231,6,7,1,0.9230769230769231
midcons,split:calibration|bucket:17-24,8,4,4,0,0,0,4,4,1.0,0.875,1.0,0.0,0.0,1.0,5,5,0,1.0
midcons,split:calibration|bucket:25+,3,0,0,0,0,0,0,3,1.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,-1,0.6666666666666666
midcons,split:calibration|bucket:9-12,32,24,24,0,0,0,24,8,1.0,1.0,1.0,0.0,0.0,1.0,6,6,0,1.0
midcons,split:calibration|bucket:<=8,99,89,89,0,0,0,89,10,1.0,0.9797979797979798,0.98989898989899,0.04040404040404041,0.04040404040404041,1.0,16,16,0,1.0
midcons,split:train,645,496,495,-1,3,4,492,146,0.9891472868217054,0.9596899224806201,0.9674418604651163,0.017054263565891473,0.18449612403100776,0.9798449612403101,126,127,1,0.9782945736434109
midcons,split:train|bucket:13-16,59,33,33,0,0,0,33,26,1.0,0.9322033898305084,0.9491525423728814,-0.05084745762711865,0.15254237288135594,0.9491525423728814,34,33,-1,0.9322033898305084
midcons,split:train|bucket:17-24,57,12,11,-1,0,1,11,45,0.9824561403508771,0.9122807017543859,0.9649122807017544,-0.3508771929824561,0.3508771929824561,0.9649122807017544,19,17,-2,0.9649122807017544
midcons,split:train|bucket:25+,21,5,5,0,0,0,5,16,1.0,1.0,1.0,0.0,0.0,1.0,6,6,0,1.0
midcons,split:train|bucket:9-12,136,103,103,0,1,1,102,32,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.0,0.08823529411764706,0.9852941176470589,12,12,0,0.9852941176470589
midcons,split:train|bucket:<=8,372,343,343,0,2,2,341,27,0.989247311827957,0.9596774193548387,0.9623655913978495,0.0913978494623656,0.20967741935483872,0.9838709677419355,55,59,4,0.9838709677419355
midcons,split:validation,127,90,89,-1,0,1,89,37,0.9921259842519685,0.968503937007874,0.9763779527559056,-0.06299212598425197,0.15748031496062992,0.968503937007874,27,29,2,0.968503937007874
midcons,split:validation|bucket:13-16,14,9,9,0,0,0,9,5,1.0,1.0,1.0,0.0,0.0,1.0,9,9,0,1.0
midcons,split:validation|bucket:17-24,11,1,1,0,0,0,1,10,1.0,0.8181818181818182,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.9090909090909091,2,3,1,0.9090909090909091
midcons,split:validation|bucket:25+,4,0,0,0,0,0,0,4,1.0,1.0,1.0,0.0,0.0,1.0,1,1,0,1.0
midcons,split:validation|bucket:9-12,20,15,15,0,0,0,15,5,1.0,1.0,1.0,0.0,0.0,1.0,3,3,0,1.0
midcons,split:validation|bucket:<=8,78,65,64,-1,0,1,64,13,0.9871794871794872,0.9743589743589743,0.9743589743589743,-0.14102564102564102,0.21794871794871795,0.9615384615384616,12,13,1,0.9615384615384616
route2,split:calibration,155,128,127,-1,1,2,126,26,0.9806451612903225,0.9419354838709677,0.9741935483870968,0.24516129032258063,0.2709677419354839,0.9806451612903225,40,41,1,0.9806451612903225
route2,split:calibration|bucket:13-16,13,8,9,1,1,0,8,4,0.9230769230769231,0.7692307692307693,0.8461538461538461,2.769230769230769,2.769230769230769,0.8461538461538461,7,9,2,0.8461538461538461
route2,split:calibration|bucket:17-24,8,4,4,0,0,0,4,4,1.0,0.875,1.0,0.0,0.0,1.0,6,6,0,1.0
route2,split:calibration|bucket:25+,3,0,0,0,0,0,0,3,1.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,-1,0.6666666666666666
route2,split:calibration|bucket:9-12,32,25,25,0,0,0,25,7,1.0,1.0,1.0,0.0,0.0,1.0,7,7,0,1.0
route2,split:calibration|bucket:<=8,99,91,89,-2,0,2,89,8,0.9797979797979798,0.9595959595959596,0.98989898989899,0.04040404040404041,0.04040404040404041,1.0,18,18,0,1.0
route2,split:train,645,498,494,-4,2,6,492,145,0.9875968992248062,0.9565891472868217,0.9674418604651163,0.06201550387596899,0.17364341085271318,0.9813953488372092,163,165,2,0.9782945736434109
route2,split:train|bucket:13-16,59,33,33,0,0,0,33,26,1.0,0.9152542372881356,0.9491525423728814,-0.05084745762711865,0.15254237288135594,0.9491525423728814,43,42,-1,0.9322033898305084
route2,split:train|bucket:17-24,57,13,11,-2,0,2,11,44,0.9649122807017544,0.9122807017543859,0.9649122807017544,0.15789473684210525,0.22807017543859648,0.9824561403508771,34,33,-1,0.9649122807017544
route2,split:train|bucket:25+,21,5,5,0,0,0,5,16,1.0,0.9523809523809523,1.0,0.0,0.0,1.0,14,14,0,1.0
route2,split:train|bucket:9-12,136,104,103,-1,1,2,102,31,0.9779411764705882,0.9779411764705882,0.9852941176470589,0.0,0.08823529411764706,0.9852941176470589,16,16,0,0.9852941176470589
route2,split:train|bucket:<=8,372,343,342,-1,1,2,341,28,0.9919354838709677,0.9623655913978495,0.9623655913978495,0.0913978494623656,0.20967741935483872,0.9838709677419355,56,60,4,0.9838709677419355
route2,split:validation,127,90,89,-1,0,1,89,37,0.9921259842519685,0.9448818897637795,0.968503937007874,-0.29133858267716534,0.3858267716535433,0.9606299212598425,37,38,1,0.9606299212598425
route2,split:validation|bucket:13-16,14,9,9,0,0,0,9,5,1.0,1.0,1.0,0.0,0.0,1.0,9,9,0,1.0
route2,split:validation|bucket:17-24,11,1,1,0,0,0,1,10,1.0,0.8181818181818182,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.9090909090909091,7,8,1,0.9090909090909091
route2,split:validation|bucket:25+,4,0,0,0,0,0,0,4,1.0,0.75,1.0,0.0,0.0,1.0,3,3,0,1.0
route2,split:validation|bucket:9-12,20,15,15,0,0,0,15,5,1.0,1.0,1.0,0.0,0.0,1.0,4,4,0,1.0
route2,split:validation|bucket:<=8,78,65,64,-1,0,1,64,13,0.9871794871794872,0.9487179487179487,0.9615384615384616,-0.5128205128205128,0.5897435897435898,0.9487179487179487,14,14,0,0.9487179487179487
v6,split:calibration,155,128,127,-1,1,2,126,26,0.9806451612903225,0.9419354838709677,0.9741935483870968,0.24516129032258063,0.2709677419354839,0.9806451612903225,40,41,1,0.9806451612903225
v6,split:calibration|bucket:13-16,13,8,9,1,1,0,8,4,0.9230769230769231,0.7692307692307693,0.8461538461538461,2.769230769230769,2.769230769230769,0.8461538461538461,7,9,2,0.8461538461538461
v6,split:calibration|bucket:17-24,8,4,4,0,0,0,4,4,1.0,0.875,1.0,0.0,0.0,1.0,6,6,0,1.0
v6,split:calibration|bucket:25+,3,0,0,0,0,0,0,3,1.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,-1,0.6666666666666666
v6,split:calibration|bucket:9-12,32,25,25,0,0,0,25,7,1.0,1.0,1.0,0.0,0.0,1.0,7,7,0,1.0
v6,split:calibration|bucket:<=8,99,91,89,-2,0,2,89,8,0.9797979797979798,0.9595959595959596,0.98989898989899,0.04040404040404041,0.04040404040404041,1.0,18,18,0,1.0
v6,split:train,645,499,495,-4,2,6,493,144,0.9875968992248062,0.9565891472868217,0.9674418604651163,0.06201550387596899,0.17364341085271318,0.9813953488372092,163,165,2,0.9782945736434109
v6,split:train|bucket:13-16,59,33,33,0,0,0,33,26,1.0,0.9152542372881356,0.9491525423728814,-0.05084745762711865,0.15254237288135594,0.9491525423728814,43,42,-1,0.9322033898305084
v6,split:train|bucket:17-24,57,14,12,-2,0,2,12,43,0.9649122807017544,0.9122807017543859,0.9649122807017544,0.15789473684210525,0.22807017543859648,0.9824561403508771,34,33,-1,0.9649122807017544
v6,split:train|bucket:25+,21,5,5,0,0,0,5,16,1.0,0.9523809523809523,1.0,0.0,0.0,1.0,14,14,0,1.0
v6,split:train|bucket:9-12,136,104,103,-1,1,2,102,31,0.9779411764705882,0.9779411764705882,0.9852941176470589,0.0,0.08823529411764706,0.9852941176470589,16,16,0,0.9852941176470589
v6,split:train|bucket:<=8,372,343,342,-1,1,2,341,28,0.9919354838709677,0.9623655913978495,0.9623655913978495,0.0913978494623656,0.20967741935483872,0.9838709677419355,56,60,4,0.9838709677419355
v6,split:validation,127,90,89,-1,0,1,89,37,0.9921259842519685,0.9448818897637795,0.968503937007874,-0.29133858267716534,0.3858267716535433,0.9606299212598425,37,38,1,0.9606299212598425
v6,split:validation|bucket:13-16,14,9,9,0,0,0,9,5,1.0,1.0,1.0,0.0,0.0,1.0,9,9,0,1.0
v6,split:validation|bucket:17-24,11,1,1,0,0,0,1,10,1.0,0.8181818181818182,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.9090909090909091,7,8,1,0.9090909090909091
v6,split:validation|bucket:25+,4,0,0,0,0,0,0,4,1.0,0.75,1.0,0.0,0.0,1.0,3,3,0,1.0
v6,split:validation|bucket:9-12,20,15,15,0,0,0,15,5,1.0,1.0,1.0,0.0,0.0,1.0,4,4,0,1.0
v6,split:validation|bucket:<=8,78,65,64,-1,0,1,64,13,0.9871794871794872,0.9487179487179487,0.9615384615384616,-0.5128205128205128,0.5897435897435898,0.9487179487179487,14,14,0,0.9487179487179487
cal,split:calibration,155,115,114,-1,1,2,113,39,0.9806451612903225,0.9612903225806452,0.9741935483870968,0.03870967741935484,0.15483870967741936,1.0,0,0,0,1.0
cal,split:calibration|bucket:13-16,13,7,8,1,1,0,7,5,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.5384615384615384,0.5384615384615384,1.0,0,0,0,1.0
cal,split:calibration|bucket:17-24,8,1,1,0,0,0,1,7,1.0,0.75,0.75,-1.125,1.125,1.0,0,0,0,1.0
cal,split:calibration|bucket:25+,3,0,0,0,0,0,0,3,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0
cal,split:calibration|bucket:9-12,32,23,23,0,0,0,23,9,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0
cal,split:calibration|bucket:<=8,99,84,82,-2,0,2,82,15,0.9797979797979798,0.9696969696969697,0.98989898989899,0.08080808080808081,0.08080808080808081,1.0,0,0,0,1.0
cal,split:train,645,485,482,-3,3,6,479,157,0.986046511627907,0.9550387596899225,0.9643410852713178,-0.02945736434108527,0.15658914728682172,1.0,0,0,0,1.0
cal,split:train|bucket:13-16,59,31,33,2,2,0,31,26,0.9661016949152542,0.9491525423728814,0.9491525423728814,-0.05084745762711865,0.22033898305084745,1.0,0,0,0,1.0
cal,split:train|bucket:17-24,57,13,12,-1,0,1,12,44,0.9824561403508771,0.9122807017543859,0.9122807017543859,-0.40350877192982454,0.40350877192982454,1.0,0,0,0,1.0
cal,split:train|bucket:25+,21,3,2,-1,0,1,2,18,0.9523809523809523,0.9047619047619048,1.0,0.0,0.0,1.0,0,0,0,1.0
cal,split:train|bucket:9-12,136,109,109,0,0,0,109,27,1.0,0.9705882352941176,0.9705882352941176,0.0,0.058823529411764705,1.0,0,0,0,1.0
cal,split:train|bucket:<=8,372,329,326,-3,1,4,325,42,0.9865591397849462,0.9596774193548387,0.9704301075268817,0.01881720430107527,0.1532258064516129,1.0,0,0,0,1.0
cal,split:validation,127,90,89,-1,0,1,89,37,0.9921259842519685,0.968503937007874,0.968503937007874,-0.015748031496062992,0.23622047244094488,1.0,0,0,0,1.0
cal,split:validation|bucket:13-16,14,10,10,0,0,0,10,4,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0
cal,split:validation|bucket:17-24,11,2,2,0,0,0,2,9,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0
cal,split:validation|bucket:25+,4,0,0,0,0,0,0,4,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0
cal,split:validation|bucket:9-12,20,15,15,0,0,0,15,5,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0
cal,split:validation|bucket:<=8,78,63,62,-1,0,1,62,15,0.9871794871794872,0.9487179487179487,0.9487179487179487,-0.02564102564102564,0.38461538461538464,1.0,0,0,0,1.0
