row_key,task_group,length_bucket,fixed64_seed0_candidate_key,fixed64_seed0_canvas,fixed64_seed0_passed,ordinary_confidence_best_of_grid_candidate_key,ordinary_confidence_best_of_grid_canvas,ordinary_confidence_best_of_grid_passed,phase5_prefix_only_deterministic_proxy_candidate_key,phase5_prefix_only_deterministic_proxy_canvas,phase5_prefix_only_deterministic_proxy_passed,phase5_combined_deterministic_proxy_candidate_key,phase5_combined_deterministic_proxy_canvas,phase5_combined_deterministic_proxy_passed,fixed_score_only_abductive_selector_candidate_key,fixed_score_only_abductive_selector_canvas,fixed_score_only_abductive_selector_passed,best_of_8_oracle_ceiling_offline_only_candidate_key,best_of_8_oracle_ceiling_offline_only_canvas,best_of_8_oracle_ceiling_offline_only_passed
HumanEval-MultiLineInfilling:1009:c0a0380af5a9e9bc,HumanEval/39,medium,HumanEval-MultiLineInfilling:1009:c0a0380af5a9e9bc|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1009:c0a0380af5a9e9bc|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1009:c0a0380af5a9e9bc|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1009:c0a0380af5a9e9bc|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1009:c0a0380af5a9e9bc|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1009:c0a0380af5a9e9bc|deployable_grid|canvas=16|seed=0,16,True
HumanEval-MultiLineInfilling:100:4c862258c9c4b599,HumanEval/1,extreme,HumanEval-MultiLineInfilling:100:4c862258c9c4b599|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:100:4c862258c9c4b599|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:100:4c862258c9c4b599|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:100:4c862258c9c4b599|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:100:4c862258c9c4b599|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:100:4c862258c9c4b599|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1010:fb852bf5c87c3e7e,HumanEval/39,long,HumanEval-MultiLineInfilling:1010:fb852bf5c87c3e7e|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1010:fb852bf5c87c3e7e|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1010:fb852bf5c87c3e7e|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1010:fb852bf5c87c3e7e|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1010:fb852bf5c87c3e7e|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1010:fb852bf5c87c3e7e|deployable_grid|canvas=32|seed=0,32,True
HumanEval-MultiLineInfilling:1011:2564945857e984a8,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1011:2564945857e984a8|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1011:2564945857e984a8|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1011:2564945857e984a8|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1011:2564945857e984a8|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1011:2564945857e984a8|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1011:2564945857e984a8|deployable_grid|canvas=32|seed=0,32,True
HumanEval-MultiLineInfilling:1012:c37fea8bb563b228,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1012:c37fea8bb563b228|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1012:c37fea8bb563b228|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1012:c37fea8bb563b228|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1012:c37fea8bb563b228|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:1012:c37fea8bb563b228|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1012:c37fea8bb563b228|deployable_grid|canvas=64|seed=0,64,True
HumanEval-MultiLineInfilling:1013:ecffc003a98ceb65,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1013:ecffc003a98ceb65|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1013:ecffc003a98ceb65|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1013:ecffc003a98ceb65|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1013:ecffc003a98ceb65|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1013:ecffc003a98ceb65|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1013:ecffc003a98ceb65|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1014:587101138959ce3b,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1014:587101138959ce3b|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1014:587101138959ce3b|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1014:587101138959ce3b|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1014:587101138959ce3b|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1014:587101138959ce3b|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1014:587101138959ce3b|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1015:450f80d6325c84ff,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1015:450f80d6325c84ff|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1015:450f80d6325c84ff|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1015:450f80d6325c84ff|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1015:450f80d6325c84ff|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1015:450f80d6325c84ff|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1015:450f80d6325c84ff|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1016:14979fba0553f464,HumanEval/39,medium,HumanEval-MultiLineInfilling:1016:14979fba0553f464|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1016:14979fba0553f464|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1016:14979fba0553f464|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1016:14979fba0553f464|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1016:14979fba0553f464|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1016:14979fba0553f464|deployable_grid|canvas=16|seed=0,16,True
HumanEval-MultiLineInfilling:1017:8b0cf142da78a0d1,HumanEval/39,medium,HumanEval-MultiLineInfilling:1017:8b0cf142da78a0d1|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1017:8b0cf142da78a0d1|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1017:8b0cf142da78a0d1|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1017:8b0cf142da78a0d1|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1017:8b0cf142da78a0d1|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1017:8b0cf142da78a0d1|deployable_grid|canvas=16|seed=0,16,True
HumanEval-MultiLineInfilling:1018:26d480c257c2224a,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1018:26d480c257c2224a|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1018:26d480c257c2224a|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1018:26d480c257c2224a|deployable_grid|canvas=32|seed=0,32,True,HumanEval-MultiLineInfilling:1018:26d480c257c2224a|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1018:26d480c257c2224a|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1018:26d480c257c2224a|deployable_grid|canvas=32|seed=0,32,True
HumanEval-MultiLineInfilling:1019:50416bcc1480ad72,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1019:50416bcc1480ad72|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1019:50416bcc1480ad72|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1019:50416bcc1480ad72|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1019:50416bcc1480ad72|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1019:50416bcc1480ad72|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1019:50416bcc1480ad72|deployable_grid|canvas=64|seed=0,64,True
HumanEval-MultiLineInfilling:101:62486e0fabe45bfb,HumanEval/1,extreme,HumanEval-MultiLineInfilling:101:62486e0fabe45bfb|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:101:62486e0fabe45bfb|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:101:62486e0fabe45bfb|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:101:62486e0fabe45bfb|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:101:62486e0fabe45bfb|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:101:62486e0fabe45bfb|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1020:5191a17563b5c638,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1020:5191a17563b5c638|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1020:5191a17563b5c638|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1020:5191a17563b5c638|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1020:5191a17563b5c638|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1020:5191a17563b5c638|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1020:5191a17563b5c638|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1021:6dbd6c21d426a908,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1021:6dbd6c21d426a908|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1021:6dbd6c21d426a908|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1021:6dbd6c21d426a908|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1021:6dbd6c21d426a908|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1021:6dbd6c21d426a908|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1021:6dbd6c21d426a908|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1022:c00943356313b110,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1022:c00943356313b110|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1022:c00943356313b110|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1022:c00943356313b110|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1022:c00943356313b110|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1022:c00943356313b110|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1022:c00943356313b110|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1023:e145d38dccd01dbe,HumanEval/39,short,HumanEval-MultiLineInfilling:1023:e145d38dccd01dbe|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1023:e145d38dccd01dbe|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1023:e145d38dccd01dbe|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1023:e145d38dccd01dbe|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1023:e145d38dccd01dbe|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1023:e145d38dccd01dbe|deployable_grid|canvas=32|seed=0,32,True
HumanEval-MultiLineInfilling:1024:34ff24e286404595,HumanEval/39,long,HumanEval-MultiLineInfilling:1024:34ff24e286404595|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1024:34ff24e286404595|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1024:34ff24e286404595|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1024:34ff24e286404595|deployable_grid|canvas=128|seed=0,128,True,HumanEval-MultiLineInfilling:1024:34ff24e286404595|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1024:34ff24e286404595|deployable_grid|canvas=16|seed=0,16,True
HumanEval-MultiLineInfilling:1025:3dd17813699192ed,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1025:3dd17813699192ed|deployable_grid|canvas=64|seed=0,64,True,HumanEval-MultiLineInfilling:1025:3dd17813699192ed|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1025:3dd17813699192ed|deployable_grid|canvas=32|seed=0,32,True,HumanEval-MultiLineInfilling:1025:3dd17813699192ed|deployable_grid|canvas=32|seed=0,32,True,HumanEval-MultiLineInfilling:1025:3dd17813699192ed|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1025:3dd17813699192ed|deployable_grid|canvas=32|seed=0,32,True
HumanEval-MultiLineInfilling:1026:6bd2d5cc62d4d642,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1026:6bd2d5cc62d4d642|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1026:6bd2d5cc62d4d642|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1026:6bd2d5cc62d4d642|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1026:6bd2d5cc62d4d642|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1026:6bd2d5cc62d4d642|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1026:6bd2d5cc62d4d642|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1027:3bb7a8bc24291099,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1027:3bb7a8bc24291099|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1027:3bb7a8bc24291099|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1027:3bb7a8bc24291099|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1027:3bb7a8bc24291099|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1027:3bb7a8bc24291099|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1027:3bb7a8bc24291099|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1028:3ea6ea554cb6d388,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1028:3ea6ea554cb6d388|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1028:3ea6ea554cb6d388|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1028:3ea6ea554cb6d388|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1028:3ea6ea554cb6d388|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1028:3ea6ea554cb6d388|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1028:3ea6ea554cb6d388|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1029:2d21b508492c0132,HumanEval/39,medium,HumanEval-MultiLineInfilling:1029:2d21b508492c0132|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1029:2d21b508492c0132|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1029:2d21b508492c0132|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:1029:2d21b508492c0132|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:1029:2d21b508492c0132|deployable_grid|canvas=16|seed=0,16,True,HumanEval-MultiLineInfilling:1029:2d21b508492c0132|deployable_grid|canvas=16|seed=0,16,True
HumanEval-MultiLineInfilling:102:a8ed8592d9396d03,HumanEval/1,extreme,HumanEval-MultiLineInfilling:102:a8ed8592d9396d03|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:102:a8ed8592d9396d03|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:102:a8ed8592d9396d03|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:102:a8ed8592d9396d03|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:102:a8ed8592d9396d03|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:102:a8ed8592d9396d03|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1030:05d9ac5cbd6d4bf0,HumanEval/39,long,HumanEval-MultiLineInfilling:1030:05d9ac5cbd6d4bf0|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1030:05d9ac5cbd6d4bf0|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1030:05d9ac5cbd6d4bf0|deployable_grid|canvas=32|seed=0,32,False,HumanEval-MultiLineInfilling:1030:05d9ac5cbd6d4bf0|deployable_grid|canvas=128|seed=0,128,False,HumanEval-MultiLineInfilling:1030:05d9ac5cbd6d4bf0|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1030:05d9ac5cbd6d4bf0|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1031:d2ffd367fd79f704,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1031:d2ffd367fd79f704|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1031:d2ffd367fd79f704|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1031:d2ffd367fd79f704|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1031:d2ffd367fd79f704|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1031:d2ffd367fd79f704|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1031:d2ffd367fd79f704|deployable_grid|canvas=16|seed=0,16,False
HumanEval-MultiLineInfilling:1032:f14c2bebcdca7d5c,HumanEval/39,extreme,HumanEval-MultiLineInfilling:1032:f14c2bebcdca7d5c|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1032:f14c2bebcdca7d5c|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1032:f14c2bebcdca7d5c|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1032:f14c2bebcdca7d5c|deployable_grid|canvas=64|seed=0,64,False,HumanEval-MultiLineInfilling:1032:f14c2bebcdca7d5c|deployable_grid|canvas=16|seed=0,16,False,HumanEval-MultiLineInfilling:1032:f14c2bebcdca7d5c|deployable_grid|canvas=16|seed=0,16,False
